Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10n","CAP_0603",73.000000,-95.800000,270.000000,top
"C2","2u2","CAP_0603",74.600000,-92.800000,90.000000,top
"C7","10u","CAP_0805",100.291000,-95.198900,0.000000,top
"C8","0.1u","CAP_0603",82.738000,-92.800000,90.000000,top
"C9","0.1u","CAP_0603",78.500000,-107.500000,180.000000,top
"C10","18pF","CAP_0603",100.575000,-107.612000,180.000000,top
"C11","0.1u","CAP_0603",91.346900,-110.444000,180.000000,top
"C12","0.1u","CAP_0603",90.538000,-92.800000,90.000000,top
"C13","18pF","CAP_0603",100.575000,-99.211700,0.000000,top
"C14","0.1u","CAP_0603",96.000000,-98.400000,90.000000,top
"C15","0.1u","CAP_0603",96.556600,-105.936000,0.000000,top
"C22","100p","CAP_0603",84.700000,-69.500000,90.000000,top
"C24","100p","CAP_0603",78.700000,-69.500000,90.000000,top
"C30","100p","CAP_0603",87.300000,-69.500000,90.000000,top
"D4","LED","LED_0603",97.000000,-114.800000,0.000000,top
"D18","LED","LED_0603",80.900000,-69.500000,90.000000,top
"D20","LED","LED_0603",82.500000,-69.500000,90.000000,top
"DD1","STM32F103RC-64","LQFP64",87.738000,-102.200000,180.000000,top
"R1","1M","RES_0603",71.400000,-95.800000,90.000000,top
"R2","2R0","RES_0603",74.600000,-95.800000,90.000000,top
"R3","10k","RES_0603",96.000000,-101.400000,270.000000,top
"R4","1k","RES_0603",93.500000,-114.800000,0.000000,top
"R5","1k5","RES_0603",78.500000,-105.900000,0.000000,top
"R46","1k","RES_0603",97.700000,-102.200000,90.000000,top
"R53","1k","RES_0603",76.197100,-95.805500,270.000000,top
"R56","1k","RES_0603",80.900000,-72.500000,90.000000,top
"R58","1k","RES_0603",82.500000,-72.500000,90.000000,top
"R60","56k","RES_0603",84.700000,-72.500000,90.000000,top
"R62","56k","RES_0603",78.700000,-72.500000,90.000000,top
"R64","56k","RES_0603",87.300000,-72.500000,90.000000,top
"TP1","TESTPOINT","TESTPOINT_1MM",85.000000,-75.500000,180.000000,top
"TP2","TESTPOINT","TESTPOINT_1MM",91.900000,-70.300000,180.000000,top
"TP3","TESTPOINT","TESTPOINT_1MM",76.900000,-71.800000,180.000000,top
"TP4","TESTPOINT","TESTPOINT_1MM",89.200000,-76.600000,0.000000,top
"TP5","TESTPOINT","TESTPOINT_1MM",89.300000,-71.800000,0.000000,top
"TP6","TESTPOINT","TESTPOINT_1MM",86.600000,-76.800000,0.000000,top
"TP7","TESTPOINT","TESTPOINT_1MM",84.205600,-79.280300,180.000000,top
"TP8","TESTPOINT","TESTPOINT_1MM",86.300000,-79.700000,0.000000,top
"TP9","TESTPOINT","TESTPOINT_1MM",83.100000,-77.100000,0.000000,top
"U2","USBLC6","SOT23-6",76.582100,-102.649000,270.000000,top
"XTAL1","12 MHz","0503x4-4",100.775000,-103.412000,90.000000,top
